vin,sellingprice
1g6dp567450124779,4581.931462636056
1gtw7fca7e1902207,22651.44724926981
jn8az1mw6dw303497,23213.902721164886
2g1wf5e34d1160703,11287.729009440527
1n6aa0ec3dn301209,24399.962228652457
wvwvd63b93e175638,1665.4884391559463
5npeb4ac4dh809686,12195.615024756424
1fm5k7b97dgb16454,14862.540487200678
jn1cv6ar5bm411441,17730.09469769137
3gnfc16j77g158033,7159.690326955346
2g1wb5e30d1140332,16664.65614142891
jf2sjadc1fh417932,23355.875989037057
1fmcu0f75eue15137,11170.880463120388
jn8az18w29w128991,13035.307236586279
3fadp4ejxcm158293,7000.11131313516
1fahp2e96dg230937,18184.9807019236
knaft4a24b5326931,7029.740662181425
wbaeb5c57ac225968,24361.08355692404
1gndt13sx62216518,6282.319021941023
3gcukrec4eg454516,27098.366415137483
kmhgc4ddxcu168540,15167.709092806335
2gnfleek4c6221421,14185.612185077283
3gnda23d06s523147,5615.6214528684695
ja32u1fu0du008397,12309.876164927378
1fbne3bl1eda46070,20428.098064717495
2b8gp54l01r117477,625.9819184710632
1fadp3f28el323070,12666.739732578306
1g3nl52f32c104253,1001.3240152747967
yv4992dz6a2034805,8359.709898462079
1gmdv33l15d274975,4180.6783255120845
3fahp0ha5cr314457,14486.89928945885
kndjp3a5xe7072298,13777.101085185539
jh4cu2f49cc003441,17091.921182659287
1g2zm177284122405,6727.125079619942
1hgcp2f38ba122870,12755.67902581065
1n4aa5ap0bc847988,16237.968740409533
jt2bf28kx10337262,5291.766175612684
2gtek13v961325160,10525.287017054927
1n4aa5ap7ac811245,13344.947760983432
1fadp3k25el151313,12333.084333445793
4t1bf1fk9eu774829,14139.239774184629
waugfafc2en098654,38035.76988579532
3fa6p0hr2dr238002,12170.875282423161
3fahp0ja5cr276738,9243.754312171588
2g1fa1e30d9157807,17489.38813476623
2t3bfrev4dw038526,18160.78035127371
5yfbu4ee8dp189095,11765.692145594565
yv1sz59h741164165,3523.8050750831735
1hgcr2f84da020569,14471.07877966034
1c4njcba3fd124498,17308.36336442864
1n4aa51e09c834554,9255.259007945016
1fmfu17525la35873,5668.997464631947
3vw2k7aj6dm209150,12243.826609563954
5j6rm3h7xdl004568,17603.13734382916
waufgafb8an026867,18411.73680677767
3fahp0ha0cr307061,13528.974231817921
1lnhm87a82y644589,1230.5465906891004
2hkrl18022h576543,1744.3125775515527
2t1burhe2ec210372,15692.699475171637
nm0ge9f77e1151554,22200.06809328742
5xxgr4a66dg133932,11068.750359621887
5j6re48348l033196,8473.581434900476
1gnlvfed5aj252374,18002.81461644563
1ftfw1e69dfd71401,35835.74860501225
kmhdh4ae8du795370,10129.794831658739
1n4al2ap3cn408119,12701.851727060599
waugn74f37n041255,13666.715031679028
5xykt3a63eg479116,14391.188690837655
4t1bf3ek2au532729,6742.043325383445
knafx4a62e5225883,14556.411278859718
jnkcv51e63m329092,4130.9336713235225
jn1by1ar2cm394735,26199.480909167873
1j4fa59s0yp723644,4697.957106806229
1fahp3f28cl166154,8203.905872877514
jtebu4bf2bk113263,24080.422524533606
2c4rc1gg7er180355,27194.927371383397
2hges16374h588764,2385.771196261643
wddgf81x78f169485,17723.239622044704
2c4rdgcg3er388917,16183.168767229867
1n4al2ap5cn424564,11579.385608215678
1ftfw1et8cfb48321,23963.576040890282
3fa6p0h71er259567,15300.903562079224
1c3cdzab7dn610562,10254.45067470013
1c6rd7ft7cs204333,16850.182654763434
5npeb4ac3ch290449,11332.695579253512
1ftfw1ef3bfc35956,27444.97609087207
jf1znaa10d1719373,22527.187491130346
2c4rdgegxer431226,17801.538948049838
1n4al3ap9ec105740,12910.84756908639
wbxpa73464wc36440,3908.4408427517446
yv440mdb2f2610299,32486.67538419607
2c3ccakt9eh306087,21276.63097953593
2d4fv47tx6h156976,2181.7664876512063
1fbss3bl5edb01101,24221.888242953522
1ftww31p86ec33609,13725.960585334093
1g6dw677x50225462,3747.538964809186
1ftfw1r69dfb74948,32241.968969648977
1fahp2e82eg107578,20582.93907447726
jn1cv6ek3cm422386,22264.545762912756
3fa6p0h7xdr271747,14653.828708929233
1g6dw677550216409,4983.892641665481
2gkaluek7c6276284,20153.479793336206
4t4be46k09r098027,4647.193409461148
1ft8w3dt0deb21420,45536.983663898405
knafe122845051705,2101.205568081077
1g1pe5sb9e7114453,12404.237690493845
3c4pddbg6ct222361,7948.582902276231
km8jn72d05u127017,4350.896716827383
5tfhw5f13cx249936,23333.6218432518
1g1pc5sb7d7144958,9868.648293136845
1gnwkmeg6br194783,19457.383953538727
1g1zd5eb9af288546,6841.040146755151
1j4gw48s44c336467,3457.096571765118
2melm74w1vx603619,491.8031554850568
knafx4a67e5127187,11625.898734912213
2t1br32e14c264462,4217.257135943035
1g1zd5eu9bf201988,7433.031993574102
kndup131046562894,1419.5611599110562
2g1wf5ek1b1281581,7371.80174398196
2t2gk31u77c011844,14060.692806862446
1ftnf1cf8ekd17420,18752.071310069223
waulc68e63a233402,7695.204539166553
jthgl46f875015124,15564.973369922543
5j6rm3h53cl025176,18353.603039580077
1fahp3fnxbw188972,9340.31686667656
wbabd33424jy97817,4183.561668121043
5uxfe83529l170811,19178.5229440944
jtdktud32ed584445,15145.843447415364
1g8aj55f77z187488,3094.6953970614704
2c4rdgcg0cr204451,10575.97765586145
1n4aa5apxec438000,16485.232723876863
19uua9f55ca002462,23732.3332057858
1ftne24w67da44976,3015.6536070370566
jn1cv6el0am150112,17763.428483671694
1fahp3n26cl476501,5867.497469518498
jn8af5mv5dt210835,11933.053995555545
1gnsckkc8fr205029,45482.00666513447
