vin,sellingprice
1g6dp567450124779,4055.4451010427874
1gtw7fca7e1902207,21528.197652061834
jn8az1mw6dw303497,22112.96806903754
2g1wf5e34d1160703,9131.646561661903
1n6aa0ec3dn301209,22784.165303695037
wvwvd63b93e175638,2504.441608195366
5npeb4ac4dh809686,12718.959354310351
1fm5k7b97dgb16454,14595.096026051242
jn1cv6ar5bm411441,17275.538419171535
3gnfc16j77g158033,9489.295439118396
2g1wb5e30d1140332,13911.931229272652
jf2sjadc1fh417932,23493.72717643928
1fmcu0f75eue15137,5147.263804174985
jn8az18w29w128991,12518.216280636692
3fadp4ejxcm158293,5587.479076764947
1fahp2e96dg230937,17407.266313360575
knaft4a24b5326931,5907.891288045629
wbaeb5c57ac225968,36696.84768655982
1gndt13sx62216518,5179.863876719321
3gcukrec4eg454516,26813.10454468987
kmhgc4ddxcu168540,16925.419483209265
2gnfleek4c6221421,13413.632757254923
3gnda23d06s523147,5229.412418025113
ja32u1fu0du008397,9522.9526824754
1fbne3bl1eda46070,19388.59059608889
2b8gp54l01r117477,352.43220896433195
1fadp3f28el323070,12545.887761351829
1g3nl52f32c104253,1081.6024986684333
yv4992dz6a2034805,13330.199250028629
1gmdv33l15d274975,3611.429269937418
3fahp0ha5cr314457,12749.848769184267
kndjp3a5xe7072298,14116.865345515378
jh4cu2f49cc003441,17715.39447398185
1g2zm177284122405,7642.628280699863
1hgcp2f38ba122870,13702.160799097073
1n4aa5ap0bc847988,16984.102674859354
jt2bf28kx10337262,3688.7613179166146
2gtek13v961325160,9272.627185405898
1n4aa5ap7ac811245,15078.348688612286
1fadp3k25el151313,11685.122285344078
4t1bf1fk9eu774829,15103.903641365894
waugfafc2en098654,38279.09899717768
3fa6p0hr2dr238002,11656.108979594494
3fahp0ja5cr276738,9459.88116833047
2g1fa1e30d9157807,16928.946279172855
2t3bfrev4dw038526,16997.809994600975
5yfbu4ee8dp189095,11834.154532822313
yv1sz59h741164165,4812.020473767545
1hgcr2f84da020569,15501.31855191982
1c4njcba3fd124498,16174.31229224075
1n4aa51e09c834554,9629.47600609433
1fmfu17525la35873,6279.912452088882
3vw2k7aj6dm209150,10658.102714456772
5j6rm3h7xdl004568,17978.00561367978
waufgafb8an026867,19369.65475500051
3fahp0ha0cr307061,13798.034675004541
1lnhm87a82y644589,1104.142362071827
2hkrl18022h576543,1160.5740444370804
2t1burhe2ec210372,15209.626772158388
nm0ge9f77e1151554,20521.14175069077
5xxgr4a66dg133932,14145.176326922718
5j6re48348l033196,8632.805964434663
1gnlvfed5aj252374,12580.518645951644
1ftfw1e69dfd71401,36337.10621897952
kmhdh4ae8du795370,9279.098215587248
1n4al2ap3cn408119,12754.78836589015
waugn74f37n041255,15254.736063631051
5xykt3a63eg479116,16809.319263898466
4t1bf3ek2au532729,8886.511080438386
knafx4a62e5225883,11892.485553658877
jnkcv51e63m329092,3603.2085720868163
jn1by1ar2cm394735,27570.776611893656
1j4fa59s0yp723644,4915.701866035593
1fahp3f28cl166154,8422.5816586441
jtebu4bf2bk113263,26994.92855073881
2c4rc1gg7er180355,29054.6221130123
2hges16374h588764,2700.76450587846
wddgf81x78f169485,16550.283556144204
2c4rdgcg3er388917,16340.324120782047
1n4al2ap5cn424564,11694.874837448118
1ftfw1et8cfb48321,26161.781341631067
3fa6p0h71er259567,15451.802073651477
1c3cdzab7dn610562,9694.652531803142
1c6rd7ft7cs204333,18443.57016926489
5npeb4ac3ch290449,11706.683270519778
1ftfw1ef3bfc35956,28310.629575108247
jf1znaa10d1719373,17126.938226668914
2c4rdgegxer431226,18304.02486794884
1n4al3ap9ec105740,12637.95329476016
wbxpa73464wc36440,4722.950841141939
yv440mdb2f2610299,30369.84125721965
2c3ccakt9eh306087,25068.316875142315
2d4fv47tx6h156976,2852.3951468332198
1fbss3bl5edb01101,24065.098388146438
1ftww31p86ec33609,13940.023505331463
1g6dw677x50225462,4298.331111385913
1ftfw1r69dfb74948,37070.51440368747
1fahp2e82eg107578,18845.27305247661
jn1cv6ek3cm422386,22391.119999965525
3fa6p0h7xdr271747,13771.892003144145
1g6dw677550216409,5201.931342583568
2gkaluek7c6276284,18073.896418507997
4t4be46k09r098027,5805.956690848912
1ft8w3dt0deb21420,41899.45581404933
knafe122845051705,1741.9319812685371
1g1pe5sb9e7114453,12601.421516629624
3c4pddbg6ct222361,8772.930167838545
km8jn72d05u127017,3445.601670528149
5tfhw5f13cx249936,25113.435960807383
1g1pc5sb7d7144958,8643.187746529366
1gnwkmeg6br194783,21841.186922022578
1g1zd5eb9af288546,7034.268072592336
1j4gw48s44c336467,4516.391520153
2melm74w1vx603619,542.1778939549986
knafx4a67e5127187,11493.397736071189
2t1br32e14c264462,4915.266119740201
1g1zd5eu9bf201988,7307.049258116463
kndup131046562894,2177.675889343065
2g1wf5ek1b1281581,5788.281053375152
2t2gk31u77c011844,12662.602738182748
1ftnf1cf8ekd17420,19372.020351185023
waulc68e63a233402,5340.551384381304
jthgl46f875015124,17537.888059480236
5j6rm3h53cl025176,19178.356064339023
1fahp3fnxbw188972,9095.48312621514
wbabd33424jy97817,3797.5558444624203
5uxfe83529l170811,21663.867014364696
jtdktud32ed584445,13396.975117752943
1g8aj55f77z187488,3843.4416783477245
2c4rdgcg0cr204451,10588.225731022383
1n4aa5apxec438000,17616.64242676337
19uua9f55ca002462,23083.440168199748
1ftne24w67da44976,2533.8609870301334
jn1cv6el0am150112,14446.756060066193
1fahp3n26cl476501,7074.600761734531
jn8af5mv5dt210835,16236.038643737165
1gnsckkc8fr205029,48813.481742813536
wddgf56x08f039121,11639.448976893997
3n1cn7ap6dl876005,8864.680391652211
1n4aa5ap3cc815652,14923.880226789852
3fadp4ej1dm227597,11446.92264321839
2t3bf4dv7bw172688,14094.975503777418
1g11h5sa9df251711,12649.234632411095
3lnhl2jc4ar615582,10520.3722934125
4t1bf32k33u562748,1985.0148476278591
1d7hu18d75s323919,8592.216146767842
